Cities,Latitude,Longitude,Cloudiness,Date,Humidity,Max_Temp,Wind Speed
xichang,27.9,102.26,100,1600027077,81,64.06,1.16
chapais,49.78,-74.85,90,1600026919,100,59.0,12.75
saldanha,-33.01,17.94,73,1600027077,82,55.4,5.82
rio grande,-32.03,-52.1,90,1600027037,100,64.4,13.87
diffa,13.32,12.61,87,1600027077,46,83.68,4.68
chuy,-33.7,-53.46,100,1600027078,98,58.5,7.0
samdari,25.82,72.58,9,1600027078,43,89.96,7.18
mirnyy,62.54,113.96,0,1600027078,100,37.4,2.24
upernavik,72.79,-56.15,98,1600027078,96,31.91,11.54
egvekinot,66.32,-179.17,100,1600027079,95,37.67,10.42
richards bay,-28.78,32.04,0,1600027079,64,73.2,17.27
tocopilla,-22.09,-70.2,21,1600027079,51,66.97,11.83
martin,27.08,-80.42,75,1600027079,74,87.01,11.41
mazara del vallo,37.66,12.59,75,1600027079,88,77.0,4.7
bukama,-9.2,25.85,9,1600027080,28,78.48,1.41
rio de janeiro,-22.9,-43.21,0,1600027053,65,86.0,11.41
praia,14.92,-23.51,36,1600027080,82,79.32,9.69
buala,-8.14,159.59,99,1600027080,77,81.18,7.31
platanos,37.67,21.62,0,1600027080,83,78.8,4.7
bilma,18.69,12.92,0,1600027081,12,96.19,5.53
ust-kuyga,70.02,135.6,87,1600027081,74,41.67,6.26
sapulpa,36.0,-96.11,1,1600027012,39,84.2,6.93
narsaq,60.92,-46.05,0,1600027081,33,46.4,6.93
akom,2.67,12.71,95,1600027081,98,68.11,2.73
hithadhoo,-0.6,73.08,78,1600027082,70,81.54,6.04
torbay,47.67,-52.73,75,1600027082,44,62.01,9.17
mandera,3.94,41.87,67,1600027082,53,82.49,10.54
codrington,-38.27,141.97,0,1600027082,91,45.59,7.4
lazaro cardenas,17.96,-102.2,95,1600027083,69,85.89,8.05
broken hill,-31.95,141.43,0,1600027083,66,50.0,12.75
mosquera,4.71,-74.23,40,1600027083,45,66.2,14.99
lagos,6.58,3.75,20,1600027083,69,82.4,3.36
poum,-20.23,164.02,0,1600027083,78,70.97,12.26
geraldton,-28.77,114.6,0,1600027084,48,60.8,2.24
ginda,30.69,78.49,0,1600027084,80,62.2,3.62
starosubkhangulovo,53.1,57.44,91,1600027084,84,43.72,0.2
rocha,-34.48,-54.33,100,1600027084,91,56.97,6.87
prince rupert,54.32,-130.32,75,1600027084,93,55.4,4.7
merauke,-8.47,140.33,53,1600026906,82,73.29,14.58
bambous virieux,-20.34,57.76,75,1600027086,88,69.8,11.41
rosario do sul,-30.26,-54.91,88,1600027086,86,73.54,6.96
muravlenko,63.79,74.52,63,1600027086,87,46.58,6.26
abadzekhskaya,44.39,40.22,16,1600027087,72,66.09,3.38
atuona,-9.8,-139.03,1,1600027087,77,78.37,15.9
burnie,-41.07,145.92,97,1600027087,72,48.0,14.0
uusikaupunki,60.8,21.41,83,1600027087,81,53.6,8.05
hanzhong,33.07,107.03,100,1600027087,90,64.51,0.4
half moon bay,37.46,-122.43,1,1600027088,87,69.01,8.05
anjangaon,21.16,77.31,100,1600027088,87,77.23,3.13
atar,20.52,-13.05,48,1600027088,15,101.23,8.75
san lorenzo,-25.33,-57.53,40,1600027088,25,98.6,13.87
berdyaush,55.16,59.15,82,1600027089,87,42.6,3.65
namibe,-15.2,12.15,75,1600027089,82,63.81,3.44
clyde river,70.47,-68.59,90,1600027089,55,39.2,4.7
vila velha,-20.33,-40.29,0,1600026812,69,81.0,18.34
mastic beach,40.77,-72.85,40,1600027089,64,75.2,13.87
tonstad,58.66,6.72,100,1600027090,97,57.0,6.67
san quintin,30.48,-115.95,0,1600027090,50,80.33,14.72
imbituba,-28.24,-48.67,0,1600027090,65,80.6,12.75
necochea,-38.55,-58.74,29,1600027090,73,52.0,5.01
yellowknife,62.46,-114.35,75,1600027091,59,37.99,10.29
kahone,14.15,-16.03,4,1600027091,77,82.27,11.56
slave lake,55.28,-114.77,20,1600027091,76,50.0,3.36
turukhansk,65.82,87.98,100,1600027091,95,52.75,14.36
biscarrosse,44.39,-1.17,0,1600027091,39,78.8,4.7
makakilo city,21.35,-158.09,40,1600027092,65,80.6,5.82
okato,-39.2,173.88,87,1600027092,80,53.01,8.01
saint anthony,45.02,-93.22,1,1600027092,60,73.0,5.82
gweta,-20.18,25.23,0,1600027092,23,69.26,6.13
balkanabat,39.51,54.37,0,1600027092,35,75.58,4.65
faya,18.39,42.45,0,1600027093,13,77.0,6.93
tambun,-6.26,107.07,40,1600027093,69,82.0,4.7
rosarito,32.33,-117.03,75,1600027093,54,80.6,10.29
gonbad-e qabus,37.25,55.17,0,1600027093,64,73.4,5.59
sindor,62.86,51.89,100,1600027093,94,49.46,10.04
kharp,66.8,65.81,100,1600027094,80,44.85,4.74
grabouw,-34.15,19.02,75,1600027094,87,53.6,17.22
ketchikan,55.34,-131.65,1,1600027094,77,59.0,11.41
arman,59.7,150.17,0,1600027094,63,45.45,7.58
tynda,55.17,124.72,100,1600027095,91,49.59,1.34
formosa,-26.18,-58.18,93,1600027095,44,93.2,11.41
talnakh,69.49,88.4,75,1600027095,93,51.8,11.18
punta arenas,-53.15,-70.92,100,1600027095,67,44.6,19.46
ixtapa,20.7,-105.2,20,1600027095,55,89.6,4.7
marzuq,14.4,46.47,26,1600027096,50,82.63,4.97
dingle,11.0,122.67,55,1600027097,91,76.55,4.81
lufilufi,-13.87,-171.6,75,1600027097,94,77.0,8.05
tobermory,45.25,-81.67,10,1600027097,78,64.0,11.01
shimoda,34.67,138.95,40,1600027097,96,69.01,5.01
axim,4.87,-2.24,77,1600027098,90,75.81,7.87
saskylakh,71.92,114.08,100,1600027098,81,44.42,3.0
gisborne,-38.65,178.0,4,1600027098,67,54.0,1.99
inhambane,-23.86,35.38,1,1600027098,81,69.89,8.84
pacific grove,36.62,-121.92,90,1600027050,93,60.01,3.36
norwich,52.63,1.3,0,1600027098,72,64.99,5.82
calabozo,8.92,-67.43,66,1600027099,73,86.72,2.71
vardo,70.37,31.11,90,1600027099,93,48.2,14.99
pisco,-13.7,-76.22,6,1600027099,68,68.0,12.75
saint-pierre,-21.34,55.48,40,1600027099,68,68.0,3.36
quang ngai,15.12,108.8,100,1600027099,89,76.32,4.43
biloela,-24.42,150.5,2,1600027100,91,57.79,6.93
chimore,-16.98,-65.13,84,1600027100,26,96.03,2.57
norman wells,65.28,-126.83,40,1600027100,64,39.2,3.36
cherskiy,68.75,161.3,0,1600027100,72,42.35,6.42
ushuaia,-54.8,-68.3,100,1600027100,70,42.8,4.94
antalaha,-14.9,50.28,59,1600027101,83,68.56,9.44
puerto maldonado,-12.6,-69.18,20,1600027101,47,95.0,5.82
ploemeur,47.73,-3.43,0,1600027101,63,66.0,4.7
praya,14.92,-23.51,36,1600027101,82,79.32,9.69
anadyr,64.75,177.48,75,1600027083,93,44.6,24.61
new norfolk,-42.78,147.06,18,1600027102,72,42.01,4.0
tabuk,17.42,121.44,23,1600027102,88,74.88,2.3
constitucion,-35.33,-72.42,0,1600027102,48,61.45,15.88
road town,18.42,-64.62,20,1600027102,70,87.8,8.05
westport,41.14,-73.36,40,1600027102,64,75.99,13.87
san juan bautista,-14.01,-75.74,0,1600027103,68,68.0,12.75
meridian,43.61,-116.39,1,1600026856,26,78.8,4.7
tommot,58.96,126.29,65,1600027103,91,53.74,1.66
alofi,-19.06,-169.92,98,1600027103,64,73.4,16.11
escarcega,18.61,-90.75,26,1600027103,56,90.7,6.46
esperance,-33.87,121.9,0,1600027104,100,50.0,12.75
nikolskoye,59.7,30.79,40,1600027104,71,55.99,15.66
udachnyy,66.42,112.4,0,1600027104,80,41.0,2.24
havre-saint-pierre,50.23,-63.6,90,1600027104,67,60.8,11.41
faanui,-16.48,-151.75,100,1600027105,79,78.1,11.7
bonavista,48.65,-53.11,99,1600027105,64,59.04,9.31
hoegaarden,50.78,4.89,43,1600027105,56,69.8,1.12
saint-augustin,51.23,-58.65,100,1600027105,74,59.72,20.83
mar del plata,-38.0,-57.56,100,1600027028,43,55.99,11.41
lumberton,34.62,-79.01,75,1600026887,69,87.8,8.05
gamba,-2.65,10.0,100,1600027106,86,74.93,7.67
yanam,16.73,82.22,100,1600026821,91,79.29,6.02
obihiro,42.92,143.2,100,1600027046,84,51.17,1.41
bereda,43.27,-7.54,100,1600027107,69,69.01,5.01
callaway,30.15,-85.57,75,1600027107,94,88.0,18.34
yuzawa,39.17,140.5,100,1600027107,94,65.07,4.18
labuhan,-6.88,112.21,63,1600027108,79,76.68,7.07
airai,-8.93,125.41,1,1600027108,69,54.73,3.29
kavaratti,10.57,72.64,100,1600027108,79,81.91,17.83
pemba,-12.97,40.52,75,1600027108,88,75.2,6.93
tabory,58.52,64.55,98,1600027108,85,45.48,4.25
adwa,14.16,38.9,68,1600027109,74,62.64,1.9
chumikan,54.72,135.31,62,1600027109,89,56.68,8.86
bluff,-46.6,168.33,100,1600027109,96,51.01,8.01
antofagasta,-23.65,-70.4,20,1600026860,63,60.8,16.11
carauari,-4.88,-66.9,32,1600027109,32,97.9,2.95
komsomolskiy,40.43,71.72,0,1600027110,45,64.4,6.93
wenzhou,28.0,120.67,100,1600027110,82,71.01,1.5
matara,5.95,80.54,94,1600027110,88,77.52,10.33
fairbanks,64.84,-147.72,1,1600027110,70,48.0,4.7
padang,-0.95,100.35,92,1600027110,73,76.91,3.78
severo-kurilsk,50.68,156.12,6,1600027111,81,48.67,16.78
kamskoye ustye,55.2,49.27,100,1600027111,58,55.4,11.18
batagay-alyta,67.8,130.41,100,1600027111,89,42.04,14.18
fortuna,40.6,-124.16,90,1600027111,93,60.01,3.36
iqaluit,63.75,-68.51,90,1600027112,75,41.0,4.7
mizdah,31.45,12.98,0,1600027112,65,72.97,11.12
santa cruz cabralia,-16.28,-39.02,75,1600027112,65,78.8,11.41
maldonado,-34.67,-54.92,90,1600027112,93,57.0,9.17
deputatskiy,69.3,139.9,100,1600027113,86,35.69,3.22
dale,38.17,-86.99,1,1600027113,54,82.4,3.36
liberal,37.04,-100.92,1,1600027113,28,82.4,4.7
saint-denis,48.92,2.33,0,1600027113,45,73.4,1.12
luanda,-8.84,13.23,20,1600027051,78,73.4,9.17
aquiraz,-3.9,-38.39,20,1600027049,69,82.4,20.8
honiara,-9.43,159.95,40,1600027114,100,73.4,2.24
moranbah,-22.0,148.05,40,1600027114,98,57.61,11.01
georgetown,5.41,100.34,20,1600027114,88,78.8,4.09
rio claro,-22.41,-47.56,0,1600027114,19,96.01,5.82
mahebourg,-20.41,57.7,75,1600027115,88,69.8,11.41
bella vista,36.43,-94.23,1,1600027115,44,81.0,6.93
la ronge,55.1,-105.28,75,1600027115,57,51.8,4.7
isangel,-19.55,169.27,90,1600027115,83,73.4,5.82
puerto ayora,-0.74,-90.35,20,1600027115,57,78.8,21.92
pevek,69.7,170.31,90,1600027116,85,42.03,8.95
zambezi,-13.54,23.1,0,1600027116,24,69.6,4.25
puerto baquerizo moreno,-0.9,-89.6,97,1600027116,85,66.52,9.64
price,39.6,-110.81,1,1600027116,17,75.2,9.15
parabel,58.7,81.48,100,1600027117,86,50.41,6.67
burns lake,54.23,-125.75,100,1600027117,45,66.0,2.57
boissevain,49.23,-100.06,1,1600027117,31,60.01,8.05
calvinia,-31.47,19.78,6,1600027118,80,41.79,9.44
kodiak,57.79,-152.41,1,1600027119,62,55.4,3.36
braintree,51.88,0.55,0,1600027119,77,66.0,6.11
pahrump,36.21,-115.98,0,1600027009,7,98.01,3.0
ostrovnoy,68.05,39.51,100,1600027119,95,48.52,4.7
orodara,10.95,-4.93,20,1600027119,74,78.8,4.7
laizhou,37.18,119.93,98,1600027120,86,64.08,1.86
koygorodok,60.45,51.0,100,1600027120,94,50.52,11.3
kelvington,52.17,-103.53,17,1600027120,44,54.28,3.33
niamey,13.51,2.11,99,1600027120,55,87.8,2.24
salamiyah,35.01,37.05,0,1600027121,74,69.75,7.38
malakal,9.53,31.66,86,1600027121,97,70.61,4.74
payo,-3.75,103.64,100,1600027121,92,73.58,1.86
tuyen quang,21.82,105.22,99,1600027121,94,76.87,2.1
paamiut,61.99,-49.67,0,1600027121,70,37.08,4.65
bonthe,7.53,-12.51,100,1600027122,90,77.65,8.03
choya,52.01,86.55,0,1600027122,75,43.39,3.38
tiznit,29.58,-9.5,100,1600027122,41,81.14,6.87
basco,20.45,121.97,98,1600027122,77,85.03,10.11
huanren,41.26,125.37,0,1600027122,91,52.61,1.43
liusha,27.21,108.59,100,1600027123,100,60.6,2.53
kapaa,22.08,-159.32,90,1600027123,88,81.0,7.96
berbera,10.44,45.01,7,1600027123,46,93.18,8.3
wattegama,6.8,81.48,93,1600027123,73,77.36,5.17
yerbogachen,61.28,108.01,0,1600027124,92,42.15,4.05
severo-yeniseyskiy,60.37,93.04,0,1600027124,95,42.12,1.45
inuvik,68.35,-133.72,90,1600026953,74,35.6,9.62
te horo,-40.81,175.12,46,1600027124,86,55.99,4.0
bolobo,-2.17,16.23,100,1600027124,77,76.93,3.58
yaan,7.38,8.57,84,1600027125,96,73.47,5.55
naze,28.37,129.48,75,1600027125,100,77.0,3.36
chissamba,-12.17,17.33,0,1600027125,23,69.49,2.77
sur,22.57,59.53,0,1600027125,66,80.11,11.01
nha trang,12.25,109.18,40,1600027125,88,82.4,3.36
salinopolis,-0.61,-47.36,61,1600027126,76,82.35,13.85
cardoso,-20.08,-49.91,10,1600027126,15,95.88,11.18
muslyumovo,55.3,53.19,0,1600027126,73,51.58,10.11
aduturai,11.01,79.48,97,1600027126,79,77.47,7.72
baturaja,-4.13,104.17,100,1600027127,92,74.55,1.41
cabimas,10.39,-71.44,100,1600027127,64,88.23,2.98
ancud,-41.87,-73.82,29,1600027127,67,55.99,1.01
kununurra,-15.77,128.73,75,1600027050,83,71.6,4.72
khudumelapye,-23.88,24.75,0,1600027127,28,64.02,4.25
kahului,20.89,-156.47,20,1600027128,48,84.2,6.93
encheng,22.18,112.3,24,1600027128,87,76.75,2.91
banda aceh,5.56,95.32,100,1600026903,78,79.59,7.47
qasigiannguit,68.82,-51.19,5,1600027129,42,30.2,5.82
tuktoyaktuk,69.45,-133.04,90,1600027130,93,39.2,24.16
dongdu,35.85,117.7,100,1600027130,89,64.62,1.23
kosa,59.94,55.0,100,1600027130,88,50.81,12.8
grand-santi,4.25,-54.38,62,1600027130,43,92.01,3.22
medak,18.03,78.27,100,1600027130,76,73.99,4.0
east london,-33.02,27.91,89,1600027131,58,64.18,10.0
leeuwarden,53.2,5.81,24,1600026856,93,63.0,5.82
novyy svit,47.81,38.02,0,1600027131,30,63.84,5.14
mackay,-21.15,149.2,40,1600027131,93,64.99,6.93
palauig,15.44,119.9,6,1600027131,74,81.77,1.54
golden,39.76,-105.22,20,1600026940,15,84.0,4.7
gondar,12.6,37.47,46,1600027132,76,58.1,4.27
point pleasant,40.08,-74.07,44,1600027132,78,75.99,7.92
ahipara,-35.17,173.17,96,1600027132,68,54.03,7.61
ottawa,45.41,-75.7,90,1600027105,93,68.0,19.46
porto walter,-8.27,-72.74,58,1600027133,30,99.27,0.56
broome,42.25,-75.83,90,1600027133,93,66.0,9.17
maragogi,-9.01,-35.22,72,1600026891,75,75.61,9.93
cabo san lucas,22.89,-109.91,40,1600027006,79,90.0,11.41
semnan,35.57,53.4,0,1600027133,46,67.87,4.07
tashtyp,52.79,89.9,47,1600027134,88,38.28,0.65
sitka,57.05,-135.33,1,1600027134,50,57.2,4.47
padre bernardo,-15.35,-48.5,1,1600027134,17,90.79,7.18
masvingo,-20.06,30.83,47,1600027134,48,64.78,6.04
meadow lake,34.8,-106.54,40,1600027134,15,82.0,12.75
kokkola,63.84,23.13,17,1600027135,76,55.99,5.82
talakan,50.32,130.37,100,1600027135,89,55.6,2.55
coos bay,43.37,-124.22,90,1600027135,100,68.0,5.82
cidreira,-30.18,-50.21,71,1600027135,91,65.98,13.27
opuwo,-18.06,13.84,0,1600027135,29,64.94,7.34
grindavik,63.84,-22.43,90,1600027136,93,44.6,12.75
assiniboia,49.63,-105.98,99,1600027136,29,63.41,10.11
eldoret,0.52,35.27,76,1600027136,82,57.47,1.74
eyl,7.98,49.82,0,1600027137,76,79.0,16.73
saint-francois,46.42,3.91,0,1600027137,46,73.4,5.82
erenhot,43.65,111.98,0,1600027137,40,54.43,1.92
svetlogorsk,52.63,29.73,100,1600027137,82,56.23,7.11
bayji,34.93,43.49,0,1600027137,11,91.45,6.71
roberval,48.52,-72.23,90,1600027137,93,57.2,19.46
baillif,16.02,-61.75,20,1600027138,62,89.6,10.29
hami,42.8,93.45,100,1600027138,21,66.25,5.95
arraial do cabo,-22.97,-42.03,0,1600027138,65,78.8,23.04
hambantota,6.12,81.12,98,1600027138,79,79.83,16.96
luangwa,-15.62,30.42,26,1600027140,48,74.17,4.07
van wert,40.87,-84.58,40,1600027140,53,77.0,11.41
hay river,60.82,-115.8,75,1600027140,71,41.0,6.93
rikitea,-23.12,-134.97,0,1600027140,82,73.51,13.09
chokurdakh,70.63,147.92,25,1600027140,75,42.6,3.18
astoria,46.19,-123.83,90,1600027141,82,61.0,4.7
tiksi,71.69,128.87,7,1600027141,88,39.27,0.29
providencia,28.72,-111.58,0,1600027141,39,99.0,8.99
ankazobe,-18.32,47.12,75,1600027141,72,60.8,8.05
baykit,61.67,96.37,1,1600027142,84,46.62,2.51
chegdomyn,51.12,133.02,100,1600027142,92,53.04,1.41
mahibadhoo,3.78,72.97,100,1600027142,78,81.75,10.25
lavrentiya,65.58,-171.0,100,1600027142,90,42.64,15.41
tuy hoa,13.08,109.3,95,1600027142,87,77.67,2.98
phoenix,33.45,-112.07,0,1600027019,20,100.99,3.0
badoc,17.93,120.48,4,1600027143,81,80.65,3.51
bathsheba,13.22,-59.52,40,1600027143,66,89.6,10.29
sao filipe,14.9,-24.5,99,1600027143,81,79.14,10.96
suluq,31.67,20.25,0,1600027143,35,83.73,24.65
nizhniy kuranakh,58.84,125.49,52,1600027144,91,52.38,2.19
caconda,-13.73,15.07,0,1600027144,32,59.85,2.77
chara,56.91,118.26,98,1600027144,71,53.24,2.82
nova granada,-20.53,-49.31,0,1600027144,14,93.2,8.05
ukiah,39.15,-123.21,90,1600027071,27,86.0,3.36
kenora,49.82,-94.43,75,1600026869,58,55.4,10.29
olavarria,-36.89,-60.32,38,1600027145,31,60.01,1.99
hasaki,35.73,140.83,75,1600027145,100,70.0,6.93
agirish,61.92,63.02,100,1600027145,78,47.07,9.26
bilibino,68.05,166.44,100,1600027146,78,39.51,6.6
simao,22.79,100.97,100,1600027146,95,66.0,1.03
ponta do sol,32.67,-17.1,20,1600027146,78,73.4,6.93
badnawar,23.02,75.22,100,1600027146,96,73.81,9.26
mogocha,53.73,119.77,69,1600027147,93,46.99,2.86
porto santo,33.07,-16.34,40,1600027147,83,73.4,10.29
beloha,-25.17,45.05,0,1600027147,74,68.9,19.17
bonoua,5.27,-3.6,40,1600027147,94,77.0,9.17
dikson,73.51,80.55,53,1600027147,91,45.7,18.63
ruteng,-8.61,120.47,74,1600027148,84,58.33,1.39
kruisfontein,-34.0,24.73,0,1600027148,61,54.3,8.37
posse,-14.09,-46.37,10,1600027148,26,86.04,12.1
nisshin,35.17,136.96,20,1600027148,73,75.2,25.28
west des moines,41.57,-93.75,20,1600026892,53,78.01,3.36
riberalta,-10.98,-66.1,91,1600027149,24,100.6,3.18
dzilam gonzalez,21.28,-88.93,79,1600027149,82,83.75,5.57
hervey bay,-25.3,152.85,7,1600027149,94,61.0,4.0
touros,-5.2,-35.46,20,1600027150,65,80.6,13.87
iquique,-20.22,-70.14,42,1600027151,67,62.6,19.46
tuatapere,-46.13,167.68,100,1600027151,96,51.01,8.01
novikovo,51.15,37.89,100,1600027151,37,60.15,7.81
bardiyah,31.76,25.09,0,1600027151,73,75.07,5.41
mayo,38.89,-76.51,40,1600027151,65,81.0,9.17
santiago de cuba,20.02,-75.82,40,1600027018,66,87.8,8.05
borskoye,53.03,51.72,35,1600027152,59,53.17,7.7
kavieng,-2.57,150.8,67,1600027152,79,82.22,13.87
kenitra,34.26,-6.58,40,1600027053,88,71.6,4.7
birobidzhan,48.8,132.95,100,1600027152,91,54.81,1.95
kuryk,43.2,51.65,0,1600027153,53,70.92,8.46
pangnirtung,66.15,-65.71,40,1600027153,63,42.8,12.75
shanghai,31.22,121.46,92,1600027106,88,75.99,3.09
san cristobal,7.77,-72.22,40,1600027023,46,91.4,17.22
bredasdorp,-34.53,20.04,52,1600027153,62,57.2,17.22
caravelas,-17.71,-39.25,99,1600027154,82,73.8,8.79
yantongshan,43.29,126.01,0,1600027154,87,50.72,2.3
mogadishu,2.04,45.34,94,1600027140,80,79.07,16.82
mananjary,-21.22,48.33,19,1600027154,86,68.16,3.98
nalbari,26.45,91.44,71,1600027154,90,77.45,2.62
kindia,10.06,-12.87,100,1600027155,92,73.99,1.57
trapani,37.83,12.67,75,1600027155,88,77.0,4.7
san patricio,19.22,-104.7,40,1600027155,70,91.4,11.41
cururupu,-1.83,-44.87,6,1600027155,65,82.45,6.4
prince george,53.92,-122.75,1,1600027155,67,63.0,4.7
carnarvon,-24.87,113.63,0,1600027156,100,62.6,8.05
klaksvik,62.23,-6.59,100,1600027156,81,48.2,5.82
dali,25.7,100.18,100,1600027156,90,63.03,1.68
virginia beach,36.85,-75.98,75,1600026902,74,81.0,10.29
port alfred,-33.59,26.89,0,1600027157,64,59.68,9.66
monywa,22.12,95.13,100,1600027157,88,78.93,7.87
meulaboh,4.14,96.13,100,1600027157,91,77.05,3.06
tokur,53.13,132.9,65,1600027157,95,50.61,2.21
mataura,-46.19,168.86,100,1600027158,96,51.01,8.01
roald,62.58,6.13,75,1600027158,76,51.8,19.46
la crosse,43.8,-91.24,1,1600027044,60,70.0,4.7
longyearbyen,78.22,15.64,75,1600027158,74,37.4,18.34
coihaique,-45.58,-72.07,20,1600027159,49,48.2,8.05
tanakpur,29.08,80.12,22,1600027159,74,79.83,3.58
laguna,38.42,-121.42,90,1600027159,49,78.8,4.74
goderich,43.75,-81.72,19,1600027159,81,72.0,16.49
chittaurgarh,24.88,74.63,31,1600027159,69,78.3,6.15
ballina,-28.87,153.57,29,1600027160,93,55.0,3.65
quixada,-4.97,-39.02,8,1600027044,25,92.37,5.99
kuching,1.55,110.33,40,1600027161,100,75.2,4.34
tabou,4.42,-7.35,100,1600027161,87,76.84,10.33
along,28.17,94.77,100,1600027161,89,73.6,0.69
nemuro,43.32,145.57,100,1600027162,67,57.02,11.12
vaini,-21.2,-175.2,75,1600027162,72,68.0,8.05
bairiki,1.33,172.98,40,1600027162,74,82.4,9.17
kudahuvadhoo,2.67,72.89,100,1600027162,75,82.4,10.18
asfi,32.3,-9.24,95,1600027163,84,71.06,7.61
hermanus,-34.42,19.23,35,1600027163,76,55.0,5.99
kulachi,31.93,70.46,0,1600027163,19,91.81,4.76
sarangani,5.4,125.46,100,1600027163,81,81.27,10.2
progreso,21.28,-89.67,75,1600027164,52,93.2,6.93
brownsville,25.9,-97.5,20,1600027064,59,91.4,11.41
yhu,-25.05,-55.92,8,1600027164,18,98.04,4.79
olafsvik,64.89,-23.71,98,1600027164,73,46.81,12.91
lebu,-37.62,-73.65,0,1600027164,67,51.87,18.28
mwanza,-2.52,32.9,20,1600027153,82,68.0,3.53
saint-philippe,-21.36,55.77,40,1600027165,68,68.0,3.36
thompson,55.74,-97.86,75,1600027165,54,53.6,9.17
pandan,14.05,124.17,100,1600027165,81,81.0,4.09
port hardy,50.7,-127.42,90,1600027166,93,55.4,4.7
vestmannaeyjar,63.44,-20.27,75,1600027166,81,46.4,19.46
acapulco,16.86,-99.89,40,1600027079,74,86.0,10.29
okhotsk,59.38,143.3,0,1600027166,66,51.64,3.89
barrow,71.29,-156.79,90,1600027166,93,39.2,16.11
balabac,7.99,117.06,99,1600027167,75,81.54,1.36
dar es salaam,-6.82,39.27,20,1600027167,88,75.2,5.82
puerto ayacucho,5.66,-67.62,40,1600027167,44,95.0,6.93
duliagaon,27.37,95.32,99,1600027167,97,74.71,3.02
palmer,42.16,-72.33,75,1600027167,53,75.2,6.93
avarua,-21.21,-159.78,95,1600027168,69,75.2,10.29
oistins,13.07,-59.53,40,1600027168,66,89.6,10.29
cooma,-36.23,149.13,99,1600027168,92,30.2,3.36
mount gambier,-37.83,140.77,40,1600027168,93,46.4,5.82
big spring,32.25,-101.48,1,1600027099,57,81.0,11.41
tasiilaq,65.61,-37.64,93,1600027169,69,37.4,8.05
coahuayana,18.73,-103.68,75,1600027169,78,80.6,9.17
karpathos,35.51,27.21,3,1600027169,88,75.2,12.75
shu,43.6,73.76,0,1600027170,47,60.24,2.1
